mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,2.0,0,2.0,8,0.35,1,101,0.32989430147058824,0.15938097426470588,1.0,1.0,1.0,1.0,21.708409926470587,0.6583180147058824,1.0,1.0,1.0,1.0,0.03032548293199259,47918,399539,19416,717850,346813
lower_tail,2.0,0,2.0,8,0.35,1,102,0.32989430147058824,0.15924310661764707,1.0,1.0,1.0,1.0,21.708409926470587,0.6456801470588235,1.0,1.0,1.0,1.0,0.029743318338184704,47918,400017,19238,717850,346513
lower_tail,2.0,1,1.937129432263008,6,0.35,1,100,0.32490716911764705,0.2049388786764706,1.0,1.0,1.0,1.0,21.375229779411764,7.198988970588235,1.0,1.0,1.0,1.0,0.3367911851652781,46440,292530,14961,706998,445947
lower_tail,2.0,1,1.937129432263008,6,0.35,1,101,0.32490716911764705,0.20513189338235294,1.0,1.0,1.0,1.0,21.375229779411764,7.3828125,1.0,1.0,1.0,1.0,0.3453910239183015,46440,292285,14786,706998,446367
lower_tail,2.0,1,1.937129432263008,6,0.35,1,102,0.32490716911764705,0.20461672794117647,1.0,1.0,1.0,1.0,21.375229779411764,7.246093749999999,1.0,1.0,1.0,1.0,0.33899489384574033,46440,293129,15063,706998,445246
lower_tail,2.0,1,1.937129432263008,7,0.35,1,100,0.32490716911764705,0.17876470588235294,1.0,1.0,1.0,1.0,21.375229779411764,2.335707720588235,1.0,1.0,1.0,1.0,0.10927170115560332,46440,346890,17556,706998,388992
lower_tail,2.0,1,1.937129432263008,7,0.35,1,101,0.32490716911764705,0.1788060661764706,1.0,1.0,1.0,1.0,21.375229779411764,2.3403033088235294,1.0,1.0,1.0,1.0,0.10948669712442892,46440,346880,17476,706998,389082
lower_tail,2.0,1,1.937129432263008,7,0.35,1,102,0.32490716911764705,0.17849770220588235,1.0,1.0,1.0,1.0,21.375229779411764,2.282858455882353,1.0,1.0,1.0,1.0,0.1067992475141091,46440,347451,17576,706998,388411
lower_tail,2.0,1,1.937129432263008,8,0.35,1,100,0.32490716911764705,0.15345220588235295,1.0,1.0,1.0,1.0,21.375229779411764,0.5916819852941176,1.0,1.0,1.0,1.0,0.027680730986294005,46440,400014,19512,706998,333912
lower_tail,2.0,1,1.937129432263008,8,0.35,1,101,0.32490716911764705,0.15361764705882353,1.0,1.0,1.0,1.0,21.375229779411764,0.6215533088235294,1.0,1.0,1.0,1.0,0.029078204783660307,46440,399726,19440,706998,334272
lower_tail,2.0,1,1.937129432263008,8,0.35,1,102,0.32490716911764705,0.1533795955882353,1.0,1.0,1.0,1.0,21.375229779411764,0.6192555147058822,1.0,1.0,1.0,1.0,0.02897070679924751,46440,400280,19404,706998,333754
lower_tail,2.0,2,2.0,6,0.35,1,100,0.3169908088235294,0.19748713235294119,1.0,1.0,1.0,1.0,21.32238051470588,7.60454963235294,1.0,1.0,1.0,1.0,0.356646371032922,43379,288594,14825,689772,429732
lower_tail,2.0,2,2.0,6,0.35,1,101,0.3169908088235294,0.19753860294117648,1.0,1.0,1.0,1.0,21.32238051470588,7.660845588235294,1.0,1.0,1.0,1.0,0.3592865994935072,43379,288441,14866,689772,429844
